course_id,credits,course_name_zh,course_name_en,instructor_zh,instructor_en,department_zh,department_en,time,time_en,location,course_type,language,is_core,changes,notes
000211011,3.0,政治學,Political science,蔡中民,TSAI CHUNG-MIN,政治系,Department of Political Science,一D56,mon13-16,綜合中央大教室 (270751),必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:政治系優先。本課程於第二階段初選登記開放選課。
000216011,3.0,社會學,Sociology,陳宗文,CHEN TZUNG-WEN,社會系,Department of Sociology,五D56,fri13-16,綜合中央大教室 (270751),選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A
000217011,3.0,個體經濟學,Microeconomics,陳鎮洲,CHEN JENN-JOU,經濟系,Department of Economics,四234,thu09-12,綜合中央大教室 (270751),必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課
000217021,3.0,個體經濟學,Microeconomics,李慧琳,LEE HUEY-LIN,經濟系,Department of Economics,一D56,mon13-16,資訊140307,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課
000217031,3.0,個體經濟學,Microeconomics,徐麗振,HSU LI-CHEN,經濟系,Department of Economics,二D56,tue13-16,綜南270415,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財政系學生優先，本課程有實習課，先修科目為經濟學，且建議修畢微積分再選課。
000217041,3.0,個體經濟學,Microeconomics,黃柏鈞,HUANG PO-CHUN,經濟系,Department of Economics,三D56,wed13-16,綜合中央大教室 (270751),必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課。
000218001,3.0,總體經濟學,Macroeconomics,李文傑,LEE WEN-CHIEH,經濟系,Department of Economics,四234,thu09-12,大勇210103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課
000218011,3.0,總體經濟學,Macroeconomics,洪福聲,HUNG FU-SHENG,經濟系,Department of Economics,二234,tue09-12,大勇210103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課
000218021,3.0,總體經濟學,Macroeconomics,梁斐琪,LIANG FEI-CHI,經濟系,Department of Economics,三234,wed09-12,大勇210206,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2024/09/24;,＠備註Note:N/A
000218041,3.0,總體經濟學,Macroeconomics,朱琇妍,CHU SHIOU-YEN,經濟系,Department of Economics,三D56,wed13-16,人偉講堂,必/Required,英文/English,否/No,＠異動資訊Information of alteration:教室異動於2024/09/19;,＠備註Note:財政系學生優先，本課程為英語授課，另有實習課
000218051,3.0,總體經濟學,Macroeconomics,李文傑,LEE WEN-CHIEH,經濟系,Department of Economics,四D56,thu13-16,大勇210206,必/Required,英文/English,否/No,＠異動資訊Information of alteration:教室異動於2024/09/18;,＠備註Note:本課程為英語授課，另有實習課。
000219021,3.0,經濟學,Economics,翁永和,WENG YUNGHO,經濟系,Department of Economics,四D56,thu13-16,大勇210103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:外交及資管系學生優先，本課程有實習課。下學期由洪福聲老師授課。
000219031,3.0,經濟學,Economics,王信實,WANG SHINN-SHYR,經濟系,Department of Economics,五234,fri09-12,綜合中央大教室 (270751),必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程為英語授課
000219041,3.0,經濟學,Economics,陳心蘋,CHEN HSIN-PING,經濟系,Department of Economics,五D56,fri13-16,大智190305,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:經濟系學生優先，本課程有實習課。
000219051,3.0,經濟學,Economics,李文傑,LEE WEN-CHIEH,經濟系,Department of Economics,三234,wed09-12,大勇210103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2024/09/24;,＠備註Note:公行系學生優先
000219081,3.0,經濟學,Economics,廖郁萍,LIAO YU-PING,經濟系,Department of Economics,三234,wed09-12,大勇210201,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:地政系學生優先。
000219111,3.0,經濟學,Economics,彭喜樞,PENG SHI SHU,經濟系,Department of Economics,三D56,wed13-16,綜南270111,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財政一乙學生優先，本課程有實習課。
000219121,3.0,經濟學,Economics,胡偉民,HU WEI-MIN,經濟系,Department of Economics,二234,tue09-12,大智190101,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:時間異動於2024/08/08;教室異動於2024/08/08;,＠備註Note:財政一甲學生優先，本課程有實習課。
000219511,3.0,經濟學,Economics,吳文傑,WU WEN-CHIEH,國貿系,Department of International Business,一D56,mon13-16,大勇210103,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:ETP優先，英語授課。114.1.4上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。
000219521,3.0,經濟學,Economics,鄭鴻章,CHENG HUNG-CHANG,國貿系,Department of International Business,三D56,wed13-16,商館260105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財管系優先，114.1.4上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。
000219531,3.0,經濟學,Economics,林信助,LIN SHINN-JUH,國貿系,Department of International Business,二234,tue09-12,資訊140206,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,"＠備註Note:國貿系,會一甲,風管系優先。114.1.4上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。"
000219551,3.0,經濟學,Economics,蔡致遠,TSAI CHI-YUAN,國貿系,Department of International Business,三234,wed09-12,研究250103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:國貿系、企一乙、外語學程優先。114.1.4上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。
000219561,3.0,經濟學,Economics,朴民佑,PARK MINWOO,國貿系,Department of International Business,四D56,thu13-16,人偉講堂,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:企一甲優先，英語授課。114.1.4上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。
000219571,3.0,經濟學,Economics,張興華,CHANG HSING-HUA,國貿系,Department of International Business,四D56,thu13-16,商館260210,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:金融系優先。114.1.4上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。
000219581,3.0,經濟學,Economics,溫偉任,WEN WEI-JEN,國貿系,Department of International Business,五234,fri09-12,研究250103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:國貿系，統計系，會一乙優先。114.1.4上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。
000221001,3.0,財政學,Public Finance,黃智聰,HUANG JR-TSUNG,財政系,Department of Public Finance,二D56,tue13-16,綜合中央大教室 (270751),必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:開放加簽
000221011,3.0,財政學,Public Finance,陳國樑,CHEN JOE,財政系,Department of Public Finance,三234,wed09-12,綜南270415,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:經濟系優先/建議先修過微積分
000221031,3.0,財政學,Public Finance,陳香梅,CHEN SHINEMAY,財政系,Department of Public Finance,三D56,wed13-16,綜南270415,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財政系優先/財二必修/非財政系之學生，強烈建議先修過微積分
000226001,3.0,政治學,Political science,周家瑜,CHOU CHIA-YU,政治系,Department of Political Science,三D56,wed13-16,大勇210206,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:(1)公行系優先，本課程於第二階段初選登記開放選課。(2)為確保同學了解課程要求，請想修課或加簽的同學第一周務必出席。
000226011,3.0,政治學,Political science,孫采薇,SUN TSAI-WEI,政治系,Department of Political Science,一D56,mon13-16,大勇210101,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:外交系優先。本課程於第二階段初選登記開放選課。
000226021,3.0,政治學,Political science,韋洪武,WEI HUNG-WU,政治系,Department of Political Science,一D56,mon13-16,綜北270106,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A
000227001,3.0,國際關係,International Relations,馮慕文,FONSECA FERNANDEZ FABRICIO ANTONIO,外交系,Department of Diplomacy,二D56,tue13-16,大勇210205,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A
000227011,3.0,國際關係,International Relations,郭昕光,KUO HSIN-KUANG,外交系,Department of Diplomacy,二234,tue09-12,綜南270111,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2024/09/11;,＠備註Note:第一堂課未到請自行退選，未退課該科以零分計算。
000228021,3.0,貨幣銀行學,Money and Banking,張興華,CHANG HSING-HUA,經濟系,Department of Economics,二D56,tue13-16,大勇210103,群/Partially Required,中文,否/No,＠異動資訊Information of alteration:時間異動於2024/07/17;教師異動於2024/07/17);,＠備註Note:第一次上課請務必出席。本課程下學期由林馨怡老師授課。
000228031,3.0,貨幣銀行學,Money and Banking,蕭明福,SHAW MING-FU,經濟系,Department of Economics,四D56,thu13-16,大勇210105,群/Partially Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A
000228041,3.0,貨幣銀行學,Money and Banking,賴廷緯,LAI TING-WEI,經濟系,Department of Economics,五234,fri09-12,大勇210202,群/Partially Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程為英語授課
000229001,4.0,社會學,Sociology,馬藹萱,MA AI-HSUAN,社會系,Department of Sociology,二1234,tue08-12,法學院演講廳,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2024/09/18;,＠備註Note:N/A
000314011,3.0,初級會計學（一）,Fundamental Accounting (I),徐愛恩,STEPHANIE TSUI,會計系,Department of Accounting,一D56,mon13-16,資訊140206,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:英語授課，ETP優先。非同步遠距教學，不開放加簽。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314021,3.0,初級會計學（一）,Fundamental Accounting (I),何怡澄,HO YI-CHENG,會計系,Department of Accounting,一D56,mon13-16,研究250103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財政一甲，實習課:一C。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314031,3.0,初級會計學（一）,Fundamental Accounting (I),梁嘉紋,LIANG JIA-WEN,會計系,Department of Accounting,一D56,mon13-16,商館260313,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:風管一，下學期未開連續之初會(二)。第一堂課未能出席者，請勿修習。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314041,3.0,初級會計學（一）,Fundamental Accounting (I),詹凌菁,CHAN LING-CHING,會計系,Department of Accounting,一D56,mon13-16,研究250201,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財管一，第一堂課請務必出席。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314051,3.0,初級會計學（一）,Fundamental Accounting (I),張祐慈,CHANG YU-TZU,會計系,Department of Accounting,一78E,mon16-19,研究250206,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:會一甲，不接受加簽。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314061,3.0,初級會計學（一）,Fundamental Accounting (I),黃政仁,HUANG CHENG-JEN,會計系,Department of Accounting,一78E,mon16-19,商館260313,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:會一乙，不接受加簽。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314071,3.0,初級會計學（一）,Fundamental Accounting (I),林禹銘,LIN I-MIN,會計系,Department of Accounting,一EFG,mon18-21,大勇210206,必/Required,中文,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:金融一，加簽規則請參照教學大綱，請勿來信詢問 ，第一堂課請務必出席。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314081,3.0,初級會計學（一）,Fundamental Accounting (I),林禹銘,LIN I-MIN,會計系,Department of Accounting,二EFG,tue18-21,大勇210206,必/Required,中文,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:國貿一乙，加簽規則請參照教學大綱，請勿來信詢問 ，第一堂課請務必出席。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314091,3.0,初級會計學（一）,Fundamental Accounting (I),梁嘉紋,LIANG JIA-WEN,會計系,Department of Accounting,三234,wed09-12,研究250308,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:統計二，下學期未開連續之初會(二)。第一堂課未能出席者，請勿修習。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。本課程選課名額已提高至教室容量上限，請透過選課系統加選。
000314101,3.0,初級會計學（一）,Fundamental Accounting (I),戚務君,CHI WU-CHUN,會計系,Department of Accounting,三234,wed09-12,學思040103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:資管一甲，第一堂務必出席。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
